SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203081,0022301191,"APR 14, 2024",MIL @ ORL,L,30,2,14,0.143,0,4,0.0,12,13,0.923,1,3,4,2,1,0,2,0,16,-8,1
22023,203081,0022301162,"APR 10, 2024",MIL vs. ORL,W,34,10,19,0.526,3,8,0.375,6,7,0.857,0,6,6,9,0,0,4,2,29,11,1
22023,203081,0022301148,"APR 09, 2024",MIL vs. BOS,W,36,5,11,0.455,2,5,0.4,0,0,0.0,1,2,3,5,1,1,3,0,12,13,1
22023,203081,0022301139,"APR 07, 2024",MIL vs. NYK,L,39,4,11,0.364,1,7,0.143,14,15,0.933,0,4,4,6,1,2,4,2,23,-8,1
22023,203081,0022301122,"APR 05, 2024",MIL vs. TOR,L,38,10,24,0.417,4,12,0.333,12,14,0.857,0,5,5,6,1,0,7,6,36,-10,1
22023,203081,0022301061,"MAR 28, 2024",MIL @ NOP,L,36,8,16,0.5,3,6,0.5,1,3,0.333,0,5,5,7,0,0,2,2,20,3,1
22023,203081,0022301045,"MAR 26, 2024",MIL vs. LAL,L,49,9,29,0.31,3,14,0.214,6,7,0.857,1,4,5,8,1,0,2,6,27,-5,1
22023,203081,0022301030,"MAR 24, 2024",MIL vs. OKC,W,33,4,12,0.333,2,5,0.4,1,1,1.0,0,6,6,5,0,0,1,2,11,18,1
22023,203081,0022301007,"MAR 21, 2024",MIL vs. BKN,W,37,11,22,0.5,5,11,0.455,3,3,1.0,0,3,3,12,2,0,4,3,30,-7,1
22023,203081,0022300998,"MAR 20, 2024",MIL @ BOS,L,36,11,21,0.524,6,10,0.6,4,4,1.0,0,4,4,6,1,1,4,1,32,1,1
22023,203081,0022300976,"MAR 17, 2024",MIL vs. PHX,W,39,10,19,0.526,4,8,0.5,7,7,1.0,1,4,5,16,1,0,4,1,31,14,1
22023,203081,0022300958,"MAR 14, 2024",MIL vs. PHI,W,38,7,16,0.438,2,7,0.286,1,1,1.0,1,2,3,9,1,1,0,1,17,23,1
22023,203081,0022300945,"MAR 12, 2024",MIL @ SAC,L,33,2,12,0.167,1,6,0.167,5,6,0.833,0,5,5,6,1,1,2,2,10,-22,1
22023,203081,0022300924,"MAR 10, 2024",MIL @ LAC,W,38,11,19,0.579,7,13,0.538,6,7,0.857,1,6,7,11,0,0,2,1,35,-1,1
22023,203081,0022300915,"MAR 08, 2024",MIL @ LAL,L,38,10,23,0.435,4,12,0.333,4,4,1.0,0,5,5,12,0,0,1,2,28,13,1
22023,203081,0022300899,"MAR 06, 2024",MIL @ GSW,L,33,7,16,0.438,5,10,0.5,1,1,1.0,0,1,1,6,1,1,2,0,20,-18,1
22023,203081,0022300880,"MAR 04, 2024",MIL vs. LAC,W,42,12,22,0.545,4,9,0.444,13,13,1.0,0,4,4,4,1,0,4,3,41,6,1
22023,203081,0022300864,"MAR 01, 2024",MIL @ CHI,W,33,4,18,0.222,3,10,0.3,5,5,1.0,0,3,3,7,0,0,3,2,16,11,1
22023,203081,0022300849,"FEB 29, 2024",MIL @ CHA,W,34,5,14,0.357,3,6,0.5,4,5,0.8,1,5,6,2,2,0,2,2,17,15,1
22023,203081,0022300840,"FEB 27, 2024",MIL vs. CHA,W,25,8,14,0.571,4,9,0.444,3,3,1.0,0,9,9,7,0,0,3,3,23,41,1
22023,203081,0022300817,"FEB 25, 2024",MIL @ PHI,W,36,8,15,0.533,4,8,0.5,4,4,1.0,0,7,7,9,2,0,5,4,24,37,1
22023,203081,0022300808,"FEB 23, 2024",MIL @ MIN,W,38,8,23,0.348,2,8,0.25,3,4,0.75,0,9,9,10,2,1,3,3,21,8,1
22023,203081,0022300790,"FEB 15, 2024",MIL @ MEM,L,35,7,21,0.333,3,13,0.231,7,7,1.0,2,3,5,7,1,0,4,2,24,10,1
22023,203081,0022300773,"FEB 13, 2024",MIL vs. MIA,L,32,5,14,0.357,2,7,0.286,4,4,1.0,0,2,2,5,0,0,3,1,16,-25,1
22023,203081,0022300767,"FEB 12, 2024",MIL vs. DEN,W,23,6,15,0.4,2,5,0.4,4,4,1.0,1,2,3,5,0,0,2,3,18,12,1
22023,203081,0022300745,"FEB 09, 2024",MIL vs. CHA,W,29,9,18,0.5,2,8,0.25,6,6,1.0,0,4,4,8,3,0,0,1,26,33,1
22023,203081,0022300711,"FEB 04, 2024",MIL @ UTA,L,38,5,18,0.278,1,8,0.125,1,2,0.5,0,0,0,6,1,2,3,5,12,-21,1
22023,203081,0022300702,"FEB 03, 2024",MIL @ DAL,W,38,10,11,0.909,5,5,1.0,5,6,0.833,0,3,3,8,0,1,6,3,30,16,1
22023,203081,0022300683,"JAN 31, 2024",MIL @ POR,L,40,9,23,0.391,3,13,0.231,4,4,1.0,2,4,6,7,1,0,4,2,25,6,1
22023,203081,0022300667,"JAN 29, 2024",MIL @ DEN,L,35,5,13,0.385,2,4,0.5,6,6,1.0,2,1,3,5,0,1,4,2,18,1,1
22023,203081,0022300648,"JAN 27, 2024",MIL vs. NOP,W,29,7,14,0.5,3,7,0.429,9,10,0.9,0,6,6,9,2,0,0,1,26,23,1
