SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1626164,0022301194,"APR 14, 2024",PHX @ MIN,W,36,6,16,0.375,3,8,0.375,8,10,0.8,2,2,4,7,1,0,1,3,23,20,1
22023,1626164,0022301185,"APR 12, 2024",PHX @ SAC,W,41,7,12,0.583,2,4,0.5,5,5,1.0,1,3,4,6,0,0,4,5,21,-1,1
22023,1626164,0022301165,"APR 10, 2024",PHX @ LAC,W,39,13,24,0.542,5,12,0.417,6,6,1.0,1,0,1,4,1,1,1,1,37,9,1
22023,1626164,0022301156,"APR 09, 2024",PHX vs. LAC,L,40,1,11,0.091,0,4,0.0,10,11,0.909,1,2,3,5,2,0,3,2,12,-7,1
22023,1626164,0022301138,"APR 07, 2024",PHX vs. NOP,L,39,9,16,0.563,0,6,0.0,7,8,0.875,0,3,3,7,1,0,4,3,25,-6,1
22023,1626164,0022301125,"APR 05, 2024",PHX vs. MIN,W,34,3,12,0.25,1,5,0.2,6,6,1.0,1,2,3,13,3,0,7,3,13,19,1
22023,1626164,0022301110,"APR 03, 2024",PHX vs. CLE,W,37,13,25,0.52,5,9,0.556,9,9,1.0,0,1,1,8,1,0,4,2,40,18,1
22023,1626164,0022301092,"APR 01, 2024",PHX @ NOP,W,39,19,28,0.679,8,16,0.5,6,7,0.857,1,2,3,9,0,1,3,3,52,8,1
22023,1626164,0022301069,"MAR 29, 2024",PHX @ OKC,L,27,4,9,0.444,0,2,0.0,6,7,0.857,0,3,3,5,0,0,3,5,14,-17,1
22023,1626164,0022301059,"MAR 27, 2024",PHX @ DEN,W,37,5,17,0.294,2,6,0.333,5,5,1.0,0,5,5,9,0,0,2,2,17,-3,1
22023,1626164,0022301039,"MAR 25, 2024",PHX @ SAS,L,40,14,28,0.5,3,10,0.3,5,7,0.714,1,5,6,4,1,3,5,4,36,-1,1
22023,1626164,0022301025,"MAR 23, 2024",PHX @ SAS,W,31,14,24,0.583,3,7,0.429,1,1,1.0,2,5,7,9,0,0,2,3,32,29,1
22023,1626164,0022301010,"MAR 21, 2024",PHX vs. ATL,W,32,10,15,0.667,6,8,0.75,4,4,1.0,1,3,4,2,0,0,2,5,30,-10,1
