SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1628378,0022301174,"APR 12, 2024",CLE vs. IND,W,38,12,27,0.444,4,10,0.4,5,5,1.0,2,2,4,5,4,0,1,2,33,12,1
22023,1628378,0022301158,"APR 10, 2024",CLE vs. MEM,W,34,9,17,0.529,5,10,0.5,6,7,0.857,1,3,4,8,3,1,3,2,29,2,1
22023,1628378,0022301127,"APR 06, 2024",CLE @ LAL,L,38,4,13,0.308,2,9,0.222,0,2,0.0,0,5,5,7,3,2,5,2,10,10,1
22023,1628378,0022301110,"APR 03, 2024",CLE @ PHX,L,38,8,17,0.471,2,7,0.286,6,6,1.0,0,3,3,2,2,2,1,1,24,-8,1
22023,1628378,0022301077,"MAR 31, 2024",CLE @ DEN,L,31,3,12,0.25,2,6,0.333,5,5,1.0,0,0,0,6,1,0,2,2,13,-27,1
22023,1628378,0022301067,"MAR 29, 2024",CLE vs. PHI,W,32,4,13,0.308,1,7,0.143,3,3,1.0,0,3,3,8,2,0,1,1,12,-7,1
22023,1628378,0022300967,"MAR 16, 2024",CLE @ HOU,L,26,4,13,0.308,3,8,0.375,2,2,1.0,0,3,3,2,1,0,2,0,13,-15,1
22023,1628378,0022300951,"MAR 13, 2024",CLE @ NOP,W,28,5,16,0.313,4,9,0.444,0,0,0.0,1,3,4,5,0,1,2,2,14,-6,1
22023,1628378,0022300846,"FEB 28, 2024",CLE @ CHI,L,44,5,13,0.385,4,9,0.444,5,7,0.714,0,5,5,3,0,0,5,5,19,-5,1
22023,1628378,0022300832,"FEB 27, 2024",CLE vs. DAL,W,38,11,20,0.55,7,11,0.636,2,3,0.667,0,7,7,6,0,1,7,3,31,-14,1
22023,1628378,0022300820,"FEB 25, 2024",CLE @ WAS,W,36,4,10,0.4,3,6,0.5,5,5,1.0,0,4,4,5,1,0,3,5,16,6,1
22023,1628378,0022300781,"FEB 14, 2024",CLE vs. CHI,W,39,8,21,0.381,2,8,0.25,12,13,0.923,0,6,6,7,2,0,0,1,30,4,1
22023,1628378,0022300762,"FEB 12, 2024",CLE vs. PHI,L,37,9,20,0.45,4,9,0.444,14,17,0.824,1,3,4,6,3,0,3,2,36,10,1
22023,1628378,0022300756,"FEB 10, 2024",CLE @ TOR,W,31,5,11,0.455,3,6,0.5,2,2,1.0,1,3,4,6,2,1,3,2,15,6,1
