SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1627759,0022301167,"APR 11, 2024",BOS vs. NYK,L,29,6,15,0.4,1,5,0.2,2,3,0.667,1,1,2,1,0,2,3,3,15,-29,1
22023,1627759,0022301148,"APR 09, 2024",BOS @ MIL,L,36,7,19,0.368,0,6,0.0,0,0,0.0,4,6,10,3,4,0,5,3,14,-13,1
22023,1627759,0022301134,"APR 07, 2024",BOS vs. POR,W,30,10,17,0.588,3,5,0.6,3,3,1.0,0,4,4,2,1,1,2,2,26,6,1
22023,1627759,0022301105,"APR 03, 2024",BOS vs. OKC,W,33,9,20,0.45,3,9,0.333,2,3,0.667,1,6,7,4,1,2,5,4,23,8,1
22023,1627759,0022301074,"MAR 30, 2024",BOS @ NOP,W,35,6,16,0.375,3,4,0.75,2,2,1.0,2,5,7,6,1,1,2,2,17,4,1
22023,1627759,0022301060,"MAR 28, 2024",BOS @ ATL,L,39,9,17,0.529,0,3,0.0,0,0,0.0,0,1,1,4,2,2,3,3,18,8,1
22023,1627759,0022301034,"MAR 25, 2024",BOS @ ATL,L,37,10,22,0.455,2,7,0.286,2,4,0.5,2,2,4,1,2,0,1,3,24,-2,1
22023,1627759,0022301011,"MAR 22, 2024",BOS @ DET,W,33,13,19,0.684,3,8,0.375,4,7,0.571,0,4,4,0,4,0,4,1,33,9,1
22023,1627759,0022300998,"MAR 20, 2024",BOS vs. MIL,W,37,6,15,0.4,2,4,0.5,7,10,0.7,4,4,8,2,1,0,1,3,21,-2,1
22023,1627759,0022300984,"MAR 18, 2024",BOS vs. DET,W,30,11,20,0.55,3,6,0.5,6,8,0.75,0,7,7,3,1,0,3,2,31,22,1
22023,1627759,0022300955,"MAR 14, 2024",BOS vs. PHX,W,33,14,23,0.609,5,9,0.556,4,6,0.667,0,5,5,3,2,0,1,2,37,8,1
22023,1627759,0022300938,"MAR 11, 2024",BOS @ POR,W,33,13,29,0.448,1,8,0.125,0,0,0.0,3,3,6,5,1,0,0,3,27,10,1
22023,1627759,0022300920,"MAR 09, 2024",BOS @ PHX,W,34,10,21,0.476,3,7,0.429,4,7,0.571,1,2,3,3,2,0,2,1,27,6,1
22023,1627759,0022300906,"MAR 07, 2024",BOS @ DEN,L,41,16,29,0.552,2,7,0.286,7,14,0.5,6,8,14,4,2,0,2,4,41,5,1
22023,1627759,0022300886,"MAR 05, 2024",BOS @ CLE,L,37,8,20,0.4,3,7,0.429,2,2,1.0,2,1,3,4,0,0,1,3,21,9,1
22023,1627759,0022300872,"MAR 03, 2024",BOS vs. GSW,W,22,11,19,0.579,5,10,0.5,2,2,1.0,1,2,3,3,1,0,1,2,29,35,1
22023,1627759,0022300859,"MAR 01, 2024",BOS vs. DAL,W,31,11,20,0.55,2,5,0.4,1,1,1.0,1,6,7,5,1,0,0,3,25,16,1
22023,1627759,0022300836,"FEB 27, 2024",BOS vs. PHI,W,35,11,14,0.786,1,2,0.5,8,10,0.8,1,5,6,1,1,0,4,4,31,25,1
22023,1627759,0022300816,"FEB 24, 2024",BOS @ NYK,W,35,13,24,0.542,3,9,0.333,1,3,0.333,0,8,8,3,1,0,0,2,30,15,1
22023,1627759,0022300797,"FEB 22, 2024",BOS @ CHI,W,33,7,12,0.583,3,5,0.6,4,6,0.667,0,5,5,5,1,1,2,2,21,19,1
22023,1627759,0022300771,"FEB 13, 2024",BOS @ BKN,W,37,7,19,0.368,1,6,0.167,4,6,0.667,1,0,1,4,1,0,4,5,19,9,1
22023,1627759,0022300759,"FEB 11, 2024",BOS @ MIA,W,37,8,16,0.5,3,8,0.375,1,4,0.25,3,6,9,2,0,0,6,1,20,3,1
22023,1627759,0022300743,"FEB 09, 2024",BOS vs. WAS,W,35,9,15,0.6,0,1,0.0,0,0,0.0,1,6,7,3,1,0,3,3,18,-15,1
22023,1627759,0022300729,"FEB 07, 2024",BOS vs. ATL,W,34,7,11,0.636,0,2,0.0,1,1,1.0,0,6,6,6,1,0,2,4,15,-3,1
22023,1627759,0022300684,"FEB 01, 2024",BOS vs. LAL,L,27,4,12,0.333,0,3,0.0,0,0,0.0,3,5,8,7,1,0,3,5,8,-20,1
22023,1627759,0022300670,"JAN 30, 2024",BOS vs. IND,W,36,9,15,0.6,0,3,0.0,7,8,0.875,2,4,6,2,2,0,0,0,25,-6,1
22023,1627759,0022300659,"JAN 29, 2024",BOS vs. NOP,W,37,8,15,0.533,1,5,0.2,5,7,0.714,2,9,11,7,0,1,0,3,22,6,1
22023,1627759,0022300646,"JAN 27, 2024",BOS vs. LAC,L,24,3,13,0.231,0,2,0.0,2,2,1.0,5,1,6,2,0,1,1,3,8,-18,1
22023,1627759,0022300630,"JAN 25, 2024",BOS @ MIA,W,27,7,11,0.636,4,8,0.5,0,0,0.0,1,3,4,5,3,0,3,1,18,22,1
22023,1627759,0022300611,"JAN 22, 2024",BOS @ DAL,W,37,13,22,0.591,2,7,0.286,6,9,0.667,1,2,3,4,0,2,0,5,34,-6,1
22023,1627759,0022300603,"JAN 21, 2024",BOS @ HOU,W,31,6,14,0.429,1,3,0.333,0,2,0.0,0,11,11,10,3,0,3,0,13,4,1
22023,1627759,0022300586,"JAN 19, 2024",BOS vs. DEN,L,36,6,19,0.316,1,9,0.111,0,2,0.0,0,2,2,1,2,0,0,3,13,-2,1
22023,1627759,0022300571,"JAN 17, 2024",BOS vs. SAS,W,31,8,16,0.5,3,6,0.5,2,2,1.0,1,6,7,5,1,1,3,2,21,12,1
22023,1627759,0022300542,"JAN 13, 2024",BOS vs. HOU,W,28,11,15,0.733,4,6,0.667,6,10,0.6,1,5,6,2,2,2,3,5,32,19,1
22023,1627759,0022300528,"JAN 11, 2024",BOS @ MIL,L,18,5,14,0.357,0,1,0.0,0,0,0.0,1,3,4,3,0,0,0,1,10,-17,1
22023,1627759,0022300517,"JAN 10, 2024",BOS vs. MIN,W,43,9,16,0.563,4,7,0.571,13,13,1.0,1,10,11,3,2,1,2,1,35,10,1
22023,1627759,0022300507,"JAN 08, 2024",BOS @ IND,L,38,17,26,0.654,3,4,0.75,3,5,0.6,1,4,5,2,0,0,5,2,40,-1,1
22023,1627759,0022300493,"JAN 06, 2024",BOS @ IND,W,36,13,20,0.65,1,4,0.25,4,8,0.5,1,3,4,1,0,1,3,0,31,7,1
22023,1627759,0022300479,"JAN 05, 2024",BOS vs. UTA,W,27,5,12,0.417,2,4,0.5,1,2,0.5,0,3,3,5,1,1,3,2,13,18,1
