SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203954,0022301171,"APR 12, 2024",PHI vs. ORL,W,32,10,23,0.435,4,7,0.571,8,9,0.889,0,13,13,7,0,1,4,2,32,22,1
22023,203954,0022301145,"APR 09, 2024",PHI vs. DET,W,36,12,22,0.545,4,9,0.444,9,10,0.9,2,9,11,8,3,2,5,4,37,17,1
22023,203954,0022301129,"APR 06, 2024",PHI @ MEM,W,23,9,13,0.692,2,2,1.0,10,13,0.769,3,9,12,1,0,2,8,2,30,15,1
22023,203954,0022301111,"APR 04, 2024",PHI @ MIA,W,33,11,25,0.44,3,6,0.5,4,5,0.8,0,4,4,3,1,1,1,2,29,-19,1
22023,203954,0022301093,"APR 02, 2024",PHI vs. OKC,W,29,6,14,0.429,0,3,0.0,12,12,1.0,1,5,6,7,3,0,6,4,24,-2,1
22023,203954,0022300673,"JAN 30, 2024",PHI @ GSW,L,30,5,18,0.278,2,6,0.333,2,2,1.0,1,6,7,2,2,0,8,5,14,-21,1
22023,203954,0022300627,"JAN 25, 2024",PHI @ IND,L,31,11,20,0.55,2,4,0.5,7,10,0.7,1,6,7,3,0,0,2,1,31,-20,1
22023,203954,0022300608,"JAN 22, 2024",PHI vs. SAS,W,37,24,41,0.585,1,2,0.5,21,23,0.913,9,9,18,5,1,1,1,2,70,11,1
22023,203954,0022300593,"JAN 20, 2024",PHI @ CHA,W,37,11,23,0.478,0,1,0.0,11,12,0.917,1,9,10,5,0,3,3,2,33,-2,1
22023,203954,0022300585,"JAN 19, 2024",PHI @ ORL,W,31,12,22,0.545,1,2,0.5,11,11,1.0,1,6,7,2,4,0,1,1,36,12,1
22023,203954,0022300566,"JAN 16, 2024",PHI vs. DEN,W,39,13,22,0.591,3,6,0.5,12,15,0.8,1,6,7,10,0,1,3,4,41,0,1
22023,203954,0022300555,"JAN 15, 2024",PHI vs. HOU,W,31,12,21,0.571,1,5,0.2,16,17,0.941,2,8,10,3,1,1,2,5,41,7,1
22023,203954,0022300483,"JAN 05, 2024",PHI vs. NYK,L,36,10,23,0.435,1,1,1.0,9,12,0.75,3,7,10,3,1,3,6,3,30,-29,1
22023,203954,0022300459,"JAN 02, 2024",PHI vs. CHI,W,31,10,20,0.5,2,5,0.4,9,12,0.75,0,15,15,10,1,2,4,4,31,32,1
22023,203954,0022300382,"DEC 22, 2023",PHI vs. TOR,W,35,11,21,0.524,2,2,1.0,7,8,0.875,1,9,10,9,2,4,6,1,31,2,1
