SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1628969,0022301192,"APR 14, 2024",BKN @ PHI,L,25,3,8,0.375,2,5,0.4,0,0,0.0,0,2,2,1,0,0,0,1,8,-15,1
22023,1628969,0022301175,"APR 12, 2024",BKN @ NYK,L,24,2,8,0.25,1,5,0.2,0,0,0.0,0,0,0,4,0,1,0,1,5,-1,1
22023,1628969,0022301160,"APR 10, 2024",BKN vs. TOR,W,23,3,9,0.333,3,8,0.375,2,2,1.0,1,2,3,2,0,0,1,0,11,1,1
22023,1628969,0022301141,"APR 07, 2024",BKN vs. SAC,L,24,3,6,0.5,2,3,0.667,0,0,0.0,1,4,5,2,0,0,1,1,8,0,1
22023,1628969,0022301128,"APR 06, 2024",BKN vs. DET,W,31,5,10,0.5,3,6,0.5,0,0,0.0,0,2,2,3,1,0,3,2,13,-1,1
22023,1628969,0022301106,"APR 03, 2024",BKN vs. IND,W,36,6,13,0.462,3,6,0.5,2,3,0.667,2,5,7,4,2,1,2,1,17,17,1
22023,1628969,0022301089,"APR 01, 2024",BKN @ IND,L,29,7,17,0.412,3,8,0.375,2,2,1.0,0,0,0,6,1,0,0,0,19,-30,1
22023,1628969,0022301078,"MAR 31, 2024",BKN vs. LAL,L,38,5,16,0.313,3,11,0.273,0,0,0.0,1,2,3,4,1,0,1,1,13,-23,1
22023,1628969,0022301066,"MAR 29, 2024",BKN vs. CHI,W,38,8,15,0.533,7,11,0.636,2,2,1.0,1,2,3,3,4,0,0,2,25,16,1
22023,1628969,0022301050,"MAR 27, 2024",BKN @ WAS,W,47,7,16,0.438,3,9,0.333,2,2,1.0,1,5,6,4,2,2,0,1,19,3,1
22023,1628969,0022301036,"MAR 25, 2024",BKN @ TOR,W,37,5,15,0.333,3,12,0.25,0,0,0.0,1,2,3,4,0,0,7,0,13,7,1
22023,1628969,0022301019,"MAR 23, 2024",BKN @ NYK,L,37,7,14,0.5,4,9,0.444,0,0,0.0,0,4,4,5,1,0,3,1,18,-12,1
22023,1628969,0022301007,"MAR 21, 2024",BKN @ MIL,L,33,9,19,0.474,6,14,0.429,0,0,0.0,2,4,6,2,1,0,2,2,24,-7,1
22023,1628969,0022300993,"MAR 19, 2024",BKN vs. NOP,L,32,4,11,0.364,4,9,0.444,3,6,0.5,1,1,2,1,2,0,2,1,15,-8,1
