SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1628983,0022301196,"APR 14, 2024",OKC vs. DAL,W,16,5,11,0.455,0,4,0.0,5,5,1.0,1,0,1,6,0,0,0,1,15,32,1
22023,1628983,0022301179,"APR 12, 2024",OKC vs. MIL,W,29,7,21,0.333,0,7,0.0,9,9,1.0,1,6,7,3,0,1,0,1,23,10,1
22023,1628983,0022301163,"APR 10, 2024",OKC vs. SAS,W,26,10,18,0.556,1,3,0.333,5,5,1.0,0,6,6,5,0,0,1,1,26,26,1
22023,1628983,0022301153,"APR 09, 2024",OKC vs. SAC,W,38,11,21,0.524,2,3,0.667,16,20,0.8,1,6,7,4,2,2,5,2,40,6,1
22023,1628983,0022301082,"MAR 31, 2024",OKC @ NYK,W,35,7,16,0.438,1,4,0.25,4,4,1.0,1,1,2,3,1,0,2,4,19,-15,1
22023,1628983,0022301046,"MAR 26, 2024",OKC @ NOP,W,38,9,20,0.45,1,3,0.333,5,6,0.833,2,3,5,8,2,0,0,1,24,14,1
22023,1628983,0022301030,"MAR 24, 2024",OKC @ MIL,L,30,5,12,0.417,0,3,0.0,2,3,0.667,0,3,3,2,3,1,4,0,12,-17,1
22023,1628983,0022301012,"MAR 22, 2024",OKC @ TOR,W,33,9,20,0.45,1,5,0.2,4,6,0.667,1,6,7,8,3,1,6,4,23,7,1
22023,1628983,0022301000,"MAR 20, 2024",OKC vs. UTA,W,33,12,22,0.545,2,4,0.5,5,6,0.833,1,2,3,7,4,0,1,3,31,5,1
22023,1628983,0022300972,"MAR 16, 2024",OKC @ MEM,W,35,8,16,0.5,1,4,0.25,3,6,0.5,1,6,7,3,0,1,3,2,20,7,1
22023,1628983,0022300959,"MAR 14, 2024",OKC vs. DAL,W,37,9,16,0.563,1,4,0.25,12,15,0.8,1,8,9,5,2,0,1,2,31,16,1
22023,1628983,0022300941,"MAR 12, 2024",OKC vs. IND,L,37,12,27,0.444,1,7,0.143,5,6,0.833,2,8,10,5,2,1,4,4,30,-9,1
22023,1628983,0022300931,"MAR 10, 2024",OKC vs. MEM,W,27,8,14,0.571,5,7,0.714,2,2,1.0,0,2,2,6,0,0,1,2,23,29,1
22023,1628983,0022300914,"MAR 08, 2024",OKC vs. MIA,W,36,13,25,0.52,2,7,0.286,9,11,0.818,0,5,5,6,1,2,1,2,37,17,1
22023,1628983,0022300900,"MAR 06, 2024",OKC @ POR,W,36,13,23,0.565,0,3,0.0,11,12,0.917,0,3,3,5,1,1,4,2,37,3,1
22023,1628983,0022300884,"MAR 04, 2024",OKC @ LAL,L,30,5,13,0.385,1,2,0.5,9,9,1.0,2,5,7,4,4,2,4,3,20,-9,1
22023,1628983,0022300878,"MAR 03, 2024",OKC @ PHX,W,38,15,27,0.556,0,5,0.0,5,7,0.714,0,8,8,9,3,3,1,4,35,13,1
22023,1628983,0022300853,"FEB 29, 2024",OKC @ SAS,L,35,12,22,0.545,1,1,1.0,6,7,0.857,1,5,6,3,1,1,1,4,31,-7,1
22023,1628983,0022300841,"FEB 27, 2024",OKC vs. HOU,W,32,11,21,0.524,4,6,0.667,5,6,0.833,2,6,8,3,1,0,2,2,31,6,1
22023,1628983,0022300822,"FEB 25, 2024",OKC @ HOU,W,37,13,23,0.565,2,3,0.667,8,9,0.889,0,5,5,7,3,1,4,2,36,17,1
22023,1628983,0022300809,"FEB 23, 2024",OKC vs. WAS,W,30,10,17,0.588,1,3,0.333,9,9,1.0,0,7,7,9,1,1,1,3,30,38,1
22023,1628983,0022300799,"FEB 22, 2024",OKC vs. LAC,W,35,12,19,0.632,3,6,0.5,4,6,0.667,0,4,4,8,1,2,2,1,31,21,1
22023,1628983,0022300772,"FEB 13, 2024",OKC @ ORL,W,34,11,24,0.458,1,1,1.0,9,10,0.9,0,3,3,5,2,1,1,5,32,0,1
22023,1628983,0022300760,"FEB 11, 2024",OKC vs. SAC,W,39,15,26,0.577,3,4,0.75,5,9,0.556,0,3,3,7,1,2,1,0,38,16,1
22023,1628983,0022300748,"FEB 10, 2024",OKC @ DAL,L,29,9,16,0.563,0,0,0.0,7,8,0.875,2,4,6,5,0,1,3,1,25,-31,1
22023,1628983,0022300724,"FEB 06, 2024",OKC @ UTA,L,36,11,22,0.5,2,3,0.667,4,5,0.8,1,3,4,7,1,1,2,1,28,-3,1
22023,1628983,0022300710,"FEB 04, 2024",OKC vs. TOR,W,48,9,17,0.529,2,5,0.4,3,3,1.0,1,8,9,14,2,3,2,5,23,7,1
22023,1628983,0022300695,"FEB 02, 2024",OKC vs. CHA,W,30,11,15,0.733,1,1,1.0,8,10,0.8,0,3,3,9,5,3,3,2,31,34,1
22023,1628983,0022300682,"JAN 31, 2024",OKC vs. DEN,W,36,10,22,0.455,2,3,0.667,12,13,0.923,1,6,7,5,1,2,2,4,34,-1,1
22023,1628983,0022300664,"JAN 29, 2024",OKC vs. MIN,L,39,10,18,0.556,2,3,0.667,15,16,0.938,2,5,7,8,2,0,4,2,37,5,1
22023,1628983,0022300654,"JAN 28, 2024",OKC @ DET,L,29,13,20,0.65,1,1,1.0,4,5,0.8,3,2,5,4,1,0,3,3,31,-6,1
22023,1628983,0022300640,"JAN 26, 2024",OKC @ NOP,W,32,10,21,0.476,3,8,0.375,8,9,0.889,0,4,4,5,2,1,4,0,31,12,1
22023,1628983,0022300622,"JAN 24, 2024",OKC @ SAS,W,29,9,15,0.6,2,2,1.0,12,12,1.0,2,4,6,10,2,1,4,3,32,20,1
22023,1628983,0022300617,"JAN 23, 2024",OKC vs. POR,W,35,10,24,0.417,0,3,0.0,13,17,0.765,2,4,6,10,5,0,3,3,33,17,1
22023,1628983,0022300599,"JAN 20, 2024",OKC @ MIN,W,37,10,22,0.455,1,2,0.5,12,13,0.923,1,1,2,6,2,0,2,0,33,14,1
22023,1628983,0022300581,"JAN 18, 2024",OKC @ UTA,W,35,8,15,0.533,0,1,0.0,15,17,0.882,1,5,6,6,1,1,4,4,31,-1,1
22023,1628983,0022300568,"JAN 16, 2024",OKC @ LAC,L,34,6,16,0.375,0,3,0.0,7,8,0.875,1,1,2,4,0,2,2,4,19,-19,1
22023,1628983,0022300565,"JAN 15, 2024",OKC @ LAL,L,34,9,19,0.474,1,6,0.167,5,5,1.0,0,3,3,6,1,1,3,3,24,-12,1
22023,1628983,0022300546,"JAN 13, 2024",OKC vs. ORL,W,36,13,20,0.65,0,4,0.0,11,12,0.917,2,4,6,7,3,1,0,2,37,14,1
22023,1628983,0022300529,"JAN 11, 2024",OKC vs. POR,W,21,11,15,0.733,1,3,0.333,8,8,1.0,1,4,5,4,0,1,2,2,31,41,1
22023,1628983,0022300522,"JAN 10, 2024",OKC @ MIA,W,34,11,17,0.647,2,5,0.4,4,5,0.8,0,2,2,8,1,1,3,3,28,-3,1
22023,1628983,0022300508,"JAN 08, 2024",OKC @ WAS,W,36,11,17,0.647,2,3,0.667,8,10,0.8,1,5,6,5,3,1,3,5,32,3,1
22023,1628983,0022300481,"JAN 05, 2024",OKC @ BKN,L,36,11,19,0.579,2,5,0.4,10,15,0.667,1,8,9,6,0,0,2,5,34,-10,1
22023,1628983,0022300467,"JAN 03, 2024",OKC @ ATL,L,35,11,24,0.458,2,3,0.667,9,11,0.818,1,12,13,8,0,0,2,2,33,2,1
22023,1628983,0022300462,"JAN 02, 2024",OKC vs. BOS,W,37,14,22,0.636,3,5,0.6,5,8,0.625,0,6,6,7,1,0,0,5,36,3,1
22023,1628983,0022300447,"DEC 31, 2023",OKC vs. BKN,W,35,7,15,0.467,1,2,0.5,9,9,1.0,0,4,4,6,0,0,1,2,24,9,1
22023,1628983,0022300435,"DEC 29, 2023",OKC @ DEN,W,33,14,20,0.7,2,3,0.667,10,10,1.0,0,4,4,3,2,1,1,3,40,21,1
22023,1628983,0022300419,"DEC 27, 2023",OKC vs. NYK,W,36,13,23,0.565,2,5,0.4,8,9,0.889,1,6,7,8,2,2,1,0,36,12,1
22023,1628983,0022300411,"DEC 26, 2023",OKC vs. MIN,W,33,14,19,0.737,0,3,0.0,6,7,0.857,0,6,6,9,2,1,3,3,34,16,1
22023,1628983,0022300397,"DEC 23, 2023",OKC vs. LAL,L,38,12,21,0.571,1,5,0.2,9,10,0.9,1,4,5,7,3,0,3,2,34,-6,1
22023,1628983,0022300379,"DEC 21, 2023",OKC vs. LAC,W,32,11,25,0.44,1,6,0.167,8,9,0.889,2,6,8,4,4,2,1,0,31,9,1
22023,1628983,0022300355,"DEC 18, 2023",OKC vs. MEM,W,28,8,18,0.444,1,3,0.333,13,14,0.929,0,9,9,5,4,0,2,4,30,30,1
22023,1628983,0022300340,"DEC 16, 2023",OKC @ DEN,W,37,9,20,0.45,0,2,0.0,7,8,0.875,0,6,6,8,2,0,2,1,25,3,1
22023,1628983,0022300324,"DEC 14, 2023",OKC @ SAC,L,38,13,27,0.481,1,5,0.2,16,18,0.889,2,4,6,9,2,0,3,2,43,3,1
22023,1628983,0022300302,"DEC 11, 2023",OKC vs. UTA,W,28,12,17,0.706,0,1,0.0,6,6,1.0,1,3,4,7,3,0,1,1,30,35,1
22023,1628983,0022301222,"DEC 08, 2023",OKC vs. GSW,W,42,15,30,0.5,0,3,0.0,8,11,0.727,3,2,5,5,5,1,0,4,38,11,1
22023,1628983,0022301212,"DEC 06, 2023",OKC @ HOU,L,37,13,18,0.722,0,0,0.0,7,9,0.778,0,3,3,6,6,1,2,4,33,-6,1
22023,1628983,0022300287,"DEC 02, 2023",OKC @ DAL,W,39,6,13,0.462,2,3,0.667,3,4,0.75,1,2,3,9,5,1,2,4,17,8,1
22023,1628983,0022300271,"NOV 30, 2023",OKC vs. LAL,W,35,11,18,0.611,1,4,0.25,10,10,1.0,0,4,4,7,1,0,0,4,33,15,1
22023,1628983,0022300058,"NOV 28, 2023",OKC @ MIN,L,34,13,22,0.591,0,1,0.0,6,6,1.0,1,3,4,4,3,2,3,2,32,4,1
22023,1628983,0022300239,"NOV 25, 2023",OKC vs. PHI,L,36,10,21,0.476,1,2,0.5,10,10,1.0,3,3,6,5,2,0,1,3,31,1,1
22023,1628983,0022300234,"NOV 22, 2023",OKC vs. CHI,W,37,11,19,0.579,1,3,0.333,17,18,0.944,1,4,5,12,1,3,2,2,40,16,1
22023,1628983,0022300215,"NOV 19, 2023",OKC @ POR,W,23,10,13,0.769,1,1,1.0,7,7,1.0,0,3,3,4,1,0,3,2,28,26,1
22023,1628983,0022300207,"NOV 18, 2023",OKC @ GSW,W,41,18,29,0.621,2,3,0.667,2,2,1.0,1,6,7,6,2,2,3,1,40,7,1
22023,1628983,0022300201,"NOV 16, 2023",OKC @ GSW,W,29,6,21,0.286,3,7,0.429,9,9,1.0,1,1,2,7,3,1,2,4,24,12,1
22023,1628983,0022300021,"NOV 14, 2023",OKC vs. SAS,W,28,10,16,0.625,1,4,0.25,7,7,1.0,1,5,6,5,7,0,2,2,28,25,1
22023,1628983,0022300185,"NOV 12, 2023",OKC @ PHX,W,37,13,22,0.591,2,5,0.4,7,8,0.875,0,7,7,4,1,1,1,3,35,7,1
22023,1628983,0022300016,"NOV 10, 2023",OKC @ SAC,L,38,14,25,0.56,0,2,0.0,5,6,0.833,0,7,7,5,2,2,2,1,33,-3,1
22023,1628983,0022300167,"NOV 08, 2023",OKC vs. CLE,W,38,15,22,0.682,1,2,0.5,12,13,0.923,2,5,7,6,2,1,3,3,43,10,1
22023,1628983,0022300155,"NOV 06, 2023",OKC vs. ATL,W,37,11,20,0.55,3,7,0.429,5,6,0.833,1,7,8,6,1,0,2,5,30,14,1
22023,1628983,0022300121,"NOV 01, 2023",OKC vs. NOP,L,38,8,20,0.4,0,5,0.0,4,5,0.8,0,5,5,8,3,0,2,2,20,1,1
22023,1628983,0022300109,"OCT 30, 2023",OKC vs. DET,W,33,11,23,0.478,1,3,0.333,9,9,1.0,1,8,9,4,3,0,5,2,32,17,1
22023,1628983,0022300095,"OCT 29, 2023",OKC vs. DEN,L,28,2,16,0.125,0,4,0.0,3,4,0.75,1,3,4,7,1,0,0,2,7,-22,1
22023,1628983,0022300081,"OCT 27, 2023",OKC @ CLE,W,36,15,26,0.577,2,2,1.0,2,2,1.0,1,10,11,4,5,1,5,2,34,4,1
22023,1628983,0022300070,"OCT 25, 2023",OKC @ CHI,W,36,12,18,0.667,2,5,0.4,5,5,1.0,0,5,5,10,1,2,1,0,31,19,1
