SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,201939,0022301182,"APR 12, 2024",GSW vs. NOP,L,32,12,23,0.522,7,13,0.538,2,2,1.0,0,4,4,5,1,0,7,2,33,-8,1
22023,201939,0022301169,"APR 11, 2024",GSW @ POR,W,36,8,22,0.364,5,16,0.313,1,1,1.0,0,7,7,8,1,2,2,0,22,7,1
22023,201939,0022301155,"APR 09, 2024",GSW @ LAL,W,32,7,9,0.778,6,6,1.0,3,4,0.75,0,7,7,8,1,2,1,2,23,13,1
22023,201939,0022301097,"APR 05, 2024",GSW @ DAL,L,35,9,23,0.391,5,14,0.357,5,6,0.833,1,5,6,5,1,0,2,2,28,-5,1
22023,201939,0022301113,"APR 04, 2024",GSW @ HOU,W,31,9,14,0.643,2,6,0.333,9,9,1.0,0,6,6,6,0,0,3,2,29,29,1
22023,201939,0022300589,"APR 02, 2024",GSW vs. DAL,W,32,5,18,0.278,3,5,0.6,0,0,0.0,0,7,7,7,1,2,4,1,13,-4,1
22023,201939,0022301085,"MAR 31, 2024",GSW @ SAS,W,33,12,23,0.522,7,15,0.467,2,2,1.0,0,1,1,8,0,0,4,1,33,12,1
22023,201939,0022301062,"MAR 29, 2024",GSW @ CHA,W,32,9,18,0.5,4,11,0.364,1,1,1.0,0,1,1,4,1,0,0,1,23,13,1
22023,201939,0022301049,"MAR 27, 2024",GSW @ ORL,W,35,6,18,0.333,3,8,0.375,2,2,1.0,0,4,4,10,0,0,2,2,17,18,1
22023,201939,0022301044,"MAR 26, 2024",GSW @ MIA,W,31,7,15,0.467,3,10,0.3,0,0,0.0,1,1,2,6,0,0,1,1,17,19,1
22023,201939,0022301031,"MAR 24, 2024",GSW @ MIN,L,30,9,21,0.429,5,11,0.455,8,8,1.0,0,4,4,3,0,0,2,1,31,6,1
22023,201939,0022301016,"MAR 22, 2024",GSW vs. IND,L,35,9,24,0.375,6,18,0.333,1,1,1.0,3,8,11,5,0,0,1,0,25,-13,1
22023,201939,0022301001,"MAR 20, 2024",GSW vs. MEM,W,24,5,9,0.556,4,7,0.571,0,0,0.0,1,1,2,3,0,1,2,1,14,17,1
22023,201939,0022300988,"MAR 18, 2024",GSW vs. NYK,L,33,8,20,0.4,4,13,0.308,7,7,1.0,0,5,5,5,0,0,2,1,27,-9,1
22023,201939,0022300973,"MAR 16, 2024",GSW @ LAL,W,34,12,24,0.5,3,10,0.3,4,5,0.8,1,5,6,5,2,0,1,0,31,4,1
22023,201939,0022300907,"MAR 07, 2024",GSW vs. CHI,L,29,5,18,0.278,3,12,0.25,2,2,1.0,0,3,3,1,0,0,2,1,15,9,1
22023,201939,0022300899,"MAR 06, 2024",GSW vs. MIL,W,31,10,18,0.556,6,10,0.6,3,4,0.75,2,6,8,5,0,0,2,1,29,15,1
22023,201939,0022300872,"MAR 03, 2024",GSW @ BOS,L,17,2,13,0.154,0,9,0.0,0,0,0.0,0,1,1,3,0,0,2,0,4,-29,1
22023,201939,0022300860,"MAR 01, 2024",GSW @ TOR,W,30,9,22,0.409,7,15,0.467,0,0,0.0,2,4,6,6,0,0,4,2,25,12,1
22023,201939,0022300852,"FEB 29, 2024",GSW @ NYK,W,32,11,26,0.423,8,18,0.444,1,1,1.0,2,9,11,1,1,0,3,0,31,20,1
22023,201939,0022300834,"FEB 27, 2024",GSW @ WAS,W,30,6,21,0.286,4,16,0.25,2,2,1.0,0,5,5,6,1,1,3,1,18,1,1
22023,201939,0022300824,"FEB 25, 2024",GSW vs. DEN,L,32,6,19,0.316,1,10,0.1,7,8,0.875,0,1,1,4,0,0,3,2,20,-22,1
22023,201939,0022300811,"FEB 23, 2024",GSW vs. CHA,W,31,5,14,0.357,3,11,0.273,2,2,1.0,0,2,2,5,1,0,4,1,15,10,1
22023,201939,0022300802,"FEB 22, 2024",GSW vs. LAL,W,32,12,24,0.5,6,13,0.462,2,2,1.0,0,1,1,8,3,0,1,1,32,25,1
22023,201939,0022300576,"FEB 15, 2024",GSW @ UTA,W,35,4,14,0.286,2,8,0.25,6,8,0.75,1,1,2,10,1,0,4,2,16,-2,1
22023,201939,0022300789,"FEB 14, 2024",GSW vs. LAC,L,35,15,31,0.484,9,19,0.474,2,2,1.0,1,3,4,5,0,0,4,3,41,-6,1
22023,201939,0022300769,"FEB 12, 2024",GSW @ UTA,W,32,9,19,0.474,7,16,0.438,0,0,0.0,0,6,6,10,3,1,1,1,25,30,1
22023,201939,0022300757,"FEB 10, 2024",GSW vs. PHX,W,34,10,22,0.455,9,16,0.563,1,2,0.5,1,8,9,6,1,0,3,0,30,10,1
22023,201939,0022300733,"FEB 08, 2024",GSW @ IND,W,30,15,22,0.682,11,16,0.688,1,2,0.5,0,2,2,2,0,1,2,2,42,13,1
22023,201939,0022300727,"FEB 07, 2024",GSW @ PHI,W,25,2,7,0.286,1,4,0.25,4,4,1.0,0,3,3,1,0,1,4,2,9,13,1
22023,201939,0022300717,"FEB 05, 2024",GSW @ BKN,W,34,12,24,0.5,4,11,0.364,1,1,1.0,1,4,5,3,0,0,4,2,29,6,1
22023,201939,0022300699,"FEB 03, 2024",GSW @ ATL,L,41,22,38,0.579,10,23,0.435,6,6,1.0,1,5,6,4,0,1,2,1,60,-1,1
22023,201939,0022300693,"FEB 02, 2024",GSW @ MEM,W,32,6,16,0.375,4,9,0.444,4,4,1.0,0,6,6,6,1,0,3,1,20,12,1
22023,201939,0022300673,"JAN 30, 2024",GSW vs. PHI,W,35,12,17,0.706,8,13,0.615,5,5,1.0,1,7,8,7,0,1,5,2,37,26,1
