SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629027,0022301188,"APR 14, 2024",ATL @ IND,L,32,4,9,0.444,1,4,0.25,3,3,1.0,1,2,3,12,0,0,8,1,12,-35,1
22023,1629027,0022301178,"APR 12, 2024",ATL @ MIN,L,27,6,12,0.5,3,7,0.429,4,6,0.667,0,2,2,7,1,0,2,1,19,16,1
22023,1629027,0022301159,"APR 10, 2024",ATL vs. CHA,L,21,5,5,1.0,2,2,1.0,2,2,1.0,0,4,4,11,1,0,5,1,14,16,1
22023,1629027,0022300804,"FEB 23, 2024",ATL vs. TOR,L,35,4,13,0.308,2,6,0.333,1,2,0.5,0,3,3,7,0,0,4,3,11,-6,1
22023,1629027,0022300777,"FEB 14, 2024",ATL @ CHA,L,34,4,12,0.333,2,8,0.25,2,2,1.0,1,1,2,12,0,0,4,4,12,-15,1
22023,1629027,0022300763,"FEB 12, 2024",ATL vs. CHI,L,36,3,14,0.214,2,10,0.2,11,12,0.917,0,3,3,14,0,0,2,1,19,-14,1
22023,1629027,0022300754,"FEB 10, 2024",ATL vs. HOU,W,33,6,16,0.375,2,9,0.222,4,6,0.667,0,4,4,8,2,1,4,3,18,-1,1
22023,1629027,0022300742,"FEB 09, 2024",ATL @ PHI,W,40,10,21,0.476,5,12,0.417,12,16,0.75,0,1,1,12,1,0,7,1,37,5,1
22023,1629027,0022300729,"FEB 07, 2024",ATL @ BOS,L,38,8,25,0.32,2,10,0.2,2,2,1.0,0,2,2,10,1,0,4,0,20,-10,1
22023,1629027,0022300716,"FEB 05, 2024",ATL vs. LAC,L,36,8,14,0.571,3,7,0.429,6,6,1.0,0,2,2,12,2,0,5,5,25,-6,1
22023,1629027,0022300699,"FEB 03, 2024",ATL vs. GSW,W,42,12,21,0.571,7,11,0.636,4,5,0.8,0,0,0,6,1,0,3,3,35,5,1
22023,1629027,0022300690,"FEB 02, 2024",ATL vs. PHX,W,42,12,17,0.706,7,11,0.636,1,2,0.5,0,1,1,15,3,1,7,2,32,-1,1
22023,1629027,0022300669,"JAN 30, 2024",ATL vs. LAL,W,34,9,20,0.45,6,9,0.667,2,2,1.0,1,1,2,13,1,0,5,0,26,5,1
22023,1629027,0022300653,"JAN 28, 2024",ATL vs. TOR,W,42,9,24,0.375,1,4,0.25,11,12,0.917,0,2,2,12,2,0,5,3,30,8,1
22023,1629027,0022300634,"JAN 26, 2024",ATL vs. DAL,L,33,9,18,0.5,2,7,0.286,10,11,0.909,0,1,1,11,3,0,2,3,30,9,1
22023,1629027,0022300595,"JAN 20, 2024",ATL vs. CLE,L,28,6,12,0.5,3,4,0.75,0,0,0.0,0,1,1,5,0,0,4,2,15,-20,1
22023,1629027,0022300570,"JAN 17, 2024",ATL vs. ORL,W,39,5,14,0.357,1,6,0.167,7,7,1.0,1,2,3,12,1,0,8,3,18,2,1
22023,1629027,0022300559,"JAN 15, 2024",ATL vs. SAS,W,38,11,24,0.458,6,11,0.545,8,9,0.889,0,6,6,13,1,1,3,0,36,16,1
22023,1629027,0022300543,"JAN 13, 2024",ATL vs. WAS,L,36,6,19,0.316,2,10,0.2,7,9,0.778,1,1,2,10,1,1,1,5,21,-23,1
22023,1629027,0022300533,"JAN 12, 2024",ATL vs. IND,L,30,4,17,0.235,2,6,0.333,3,3,1.0,3,0,3,6,2,0,5,1,13,-19,1
22023,1629027,0022300521,"JAN 10, 2024",ATL vs. PHI,W,43,7,22,0.318,2,8,0.25,12,14,0.857,0,1,1,11,1,1,5,2,28,7,1
22023,1629027,0022300499,"JAN 07, 2024",ATL @ ORL,L,42,11,23,0.478,2,9,0.222,7,10,0.7,0,4,4,9,1,1,5,2,31,-10,1
22023,1629027,0022300480,"JAN 05, 2024",ATL @ IND,L,28,4,18,0.222,1,11,0.091,4,5,0.8,0,2,2,6,2,0,3,2,13,-28,1
22023,1629027,0022300467,"JAN 03, 2024",ATL vs. OKC,W,34,6,13,0.462,2,9,0.222,10,11,0.909,0,4,4,11,2,0,6,2,24,-9,1
22023,1629027,0022300445,"DEC 31, 2023",ATL @ WAS,W,40,11,19,0.579,4,8,0.5,14,19,0.737,0,3,3,13,3,0,5,2,40,-13,1
