SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629627,0022301195,"APR 14, 2024",NOP vs. LAL,L,34,4,13,0.308,0,1,0.0,4,5,0.8,3,5,8,8,2,0,4,2,12,-21,1
22023,1629627,0022301182,"APR 12, 2024",NOP @ GSW,W,37,11,26,0.423,1,2,0.5,3,6,0.5,0,3,3,3,6,1,2,2,26,15,1
22023,1629627,0022301170,"APR 11, 2024",NOP @ SAC,W,31,13,21,0.619,0,1,0.0,5,5,1.0,1,3,4,6,3,1,4,0,31,16,1
22023,1629627,0022301157,"APR 09, 2024",NOP @ POR,W,33,7,18,0.389,0,0,0.0,8,9,0.889,2,5,7,3,1,1,2,1,22,11,1
22023,1629627,0022301138,"APR 07, 2024",NOP @ PHX,W,40,11,21,0.524,0,0,0.0,7,8,0.875,3,7,10,7,1,5,4,2,29,7,1
22023,1629627,0022301109,"APR 03, 2024",NOP vs. ORL,L,29,7,16,0.438,0,0,0.0,1,4,0.25,0,2,2,5,2,1,2,4,15,-1,1
22023,1629627,0022301092,"APR 01, 2024",NOP vs. PHX,L,37,10,20,0.5,0,0,0.0,10,13,0.769,1,1,2,5,1,0,3,4,30,-20,1
22023,1629627,0022301074,"MAR 30, 2024",NOP vs. BOS,L,40,9,17,0.529,0,0,0.0,7,14,0.5,4,5,9,4,1,0,4,0,25,-8,1
22023,1629627,0022301061,"MAR 28, 2024",NOP vs. MIL,W,33,9,15,0.6,0,0,0.0,10,16,0.625,0,5,5,2,0,1,3,3,28,-2,1
22023,1629627,0022301046,"MAR 26, 2024",NOP vs. OKC,L,39,10,17,0.588,0,0,0.0,9,10,0.9,1,4,5,10,3,0,5,4,29,-2,1
22023,1629627,0022301027,"MAR 24, 2024",NOP @ DET,W,36,13,14,0.929,0,0,0.0,10,14,0.714,1,6,7,6,2,0,4,2,36,18,1
22023,1629627,0022301013,"MAR 22, 2024",NOP @ MIA,W,25,2,7,0.286,0,0,0.0,0,0,0.0,3,2,5,4,0,1,5,2,4,-3,1
22023,1629627,0022301004,"MAR 21, 2024",NOP @ ORL,L,29,8,15,0.533,0,0,0.0,4,6,0.667,0,7,7,2,2,1,8,5,20,0,1
22023,1629627,0022300993,"MAR 19, 2024",NOP @ BKN,W,33,11,16,0.688,0,0,0.0,6,6,1.0,2,5,7,4,1,0,2,3,28,11,1
22023,1629627,0022300970,"MAR 16, 2024",NOP vs. POR,W,34,11,17,0.647,0,0,0.0,4,5,0.8,2,8,10,3,1,1,3,2,26,21,1
22023,1629627,0022300964,"MAR 15, 2024",NOP vs. LAC,W,35,14,21,0.667,0,0,0.0,6,10,0.6,4,3,7,4,3,1,3,2,34,11,1
22023,1629627,0022300951,"MAR 13, 2024",NOP vs. CLE,L,35,13,21,0.619,0,0,0.0,7,9,0.778,2,7,9,1,1,0,2,1,33,-22,1
22023,1629627,0022300925,"MAR 10, 2024",NOP @ ATL,W,36,10,14,0.714,0,0,0.0,7,10,0.7,2,4,6,7,0,2,1,2,27,6,1
22023,1629627,0022300909,"MAR 08, 2024",NOP @ PHI,W,35,7,14,0.5,0,1,0.0,9,9,1.0,2,10,12,4,2,3,1,2,23,13,1
22023,1629627,0022300890,"MAR 05, 2024",NOP @ TOR,W,26,7,11,0.636,0,0,0.0,2,2,1.0,2,6,8,9,1,2,1,0,16,28,1
22023,1629627,0022300863,"MAR 01, 2024",NOP vs. IND,W,21,3,6,0.5,0,0,0.0,2,4,0.5,1,2,3,7,0,0,5,0,8,10,1
22023,1629627,0022300843,"FEB 28, 2024",NOP @ IND,L,32,10,20,0.5,1,2,0.5,2,5,0.4,1,2,3,4,0,0,1,2,23,-13,1
22023,1629627,0022300837,"FEB 27, 2024",NOP @ NYK,W,29,7,15,0.467,0,0,0.0,7,8,0.875,2,3,5,4,0,2,6,6,21,9,1
22023,1629627,0022300823,"FEB 25, 2024",NOP vs. CHI,L,33,9,15,0.6,0,0,0.0,1,2,0.5,1,7,8,11,0,2,3,2,19,6,1
22023,1629627,0022300810,"FEB 23, 2024",NOP vs. MIA,L,36,9,22,0.409,0,0,0.0,5,6,0.833,4,5,9,7,1,0,3,3,23,-23,1
22023,1629627,0022300798,"FEB 22, 2024",NOP vs. HOU,W,35,12,21,0.571,0,0,0.0,3,4,0.75,1,2,3,9,2,1,3,1,27,17,1
22023,1629627,0022300784,"FEB 14, 2024",NOP vs. WAS,W,34,15,21,0.714,0,0,0.0,6,9,0.667,2,4,6,8,0,1,1,2,36,2,1
22023,1629627,0022300766,"FEB 12, 2024",NOP @ MEM,W,35,4,13,0.308,0,0,0.0,6,7,0.857,2,3,5,4,1,1,3,1,14,8,1
22023,1629627,0022300747,"FEB 09, 2024",NOP @ LAL,L,32,12,19,0.632,0,0,0.0,6,7,0.857,3,6,9,5,1,1,2,2,30,-17,1
22023,1629627,0022300731,"FEB 07, 2024",NOP @ LAC,W,35,7,16,0.438,0,0,0.0,7,10,0.7,1,2,3,10,1,2,2,3,21,-6,1
22023,1629627,0022300718,"FEB 05, 2024",NOP vs. TOR,W,22,5,8,0.625,0,0,0.0,6,6,1.0,1,2,3,5,0,1,1,0,16,16,1
22023,1629627,0022300696,"FEB 02, 2024",NOP @ SAS,W,36,12,21,0.571,0,0,0.0,9,13,0.692,3,5,8,4,1,1,1,2,33,15,1
22023,1629627,0022300659,"JAN 29, 2024",NOP @ BOS,L,31,11,18,0.611,0,1,0.0,4,5,0.8,0,4,4,3,2,0,3,0,26,-7,1
22023,1629627,0022300648,"JAN 27, 2024",NOP @ MIL,L,29,8,14,0.571,0,0,0.0,7,7,1.0,1,1,2,2,1,0,5,0,23,-20,1
22023,1629627,0022300616,"JAN 23, 2024",NOP vs. UTA,W,27,8,12,0.667,0,0,0.0,1,2,0.5,1,2,3,11,0,0,2,2,17,6,1
22023,1629627,0022300588,"JAN 19, 2024",NOP vs. PHX,L,33,11,17,0.647,1,1,1.0,1,3,0.333,1,2,3,1,0,1,2,2,24,-23,1
22023,1629627,0022300575,"JAN 17, 2024",NOP vs. CHA,W,27,5,11,0.455,0,0,0.0,3,4,0.75,2,3,5,9,3,0,2,1,13,6,1
22023,1629627,0022300556,"JAN 15, 2024",NOP @ DAL,L,32,12,17,0.706,0,0,0.0,6,11,0.545,0,1,1,3,1,0,3,2,30,6,1
22023,1629627,0022300539,"JAN 12, 2024",NOP @ DEN,L,35,13,22,0.591,0,0,0.0,4,6,0.667,2,4,6,5,0,1,1,1,30,-7,1
