GAME_DATE,MATCHUP,PTS,REB,AST
"Oct 30, 2022",BOS vs. WAS,23,4,3
"Oct 28, 2022",BOS vs. CLE,32,7,4
"Oct 24, 2022",BOS @ CHI,26,8,5
"Oct 22, 2022",BOS @ ORL,40,8,1
"Oct 21, 2022",BOS @ MIA,29,5,4
"Oct 18, 2022",BOS vs. PHI,35,12,4
"Nov 30, 2022",BOS vs. MIA,49,11,3
"Nov 28, 2022",BOS vs. CHA,35,3,3
"Nov 25, 2022",BOS vs. SAC,30,8,4
"Nov 23, 2022",BOS vs. DAL,37,13,5
"Nov 21, 2022",BOS @ CHI,28,11,7
"Nov 18, 2022",BOS @ NOP,19,7,10
"Nov 16, 2022",BOS @ ATL,19,7,8
"Nov 14, 2022",BOS vs. OKC,27,10,1
"Nov 12, 2022",BOS @ DET,43,10,3
"Nov 11, 2022",BOS vs. DEN,34,8,5
"Nov 09, 2022",BOS vs. DET,31,1,5
"Nov 07, 2022",BOS @ MEM,39,3,2
"Nov 05, 2022",BOS @ NYK,26,4,5
"Nov 04, 2022",BOS vs. CHI,36,12,6
"Nov 02, 2022",BOS @ CLE,26,12,6
"Mar 31, 2023",BOS vs. UTA,39,11,3
"Mar 30, 2023",BOS @ MIL,40,8,1
"Mar 28, 2023",BOS @ WAS,28,9,5
"Mar 24, 2023",BOS vs. IND,34,7,2
"Mar 21, 2023",BOS @ SAC,36,8,4
"Mar 18, 2023",BOS @ UTA,15,3,6
"Mar 17, 2023",BOS @ POR,34,12,4
"Mar 15, 2023",BOS @ MIN,22,12,2
"Mar 13, 2023",BOS @ HOU,22,8,6
"Mar 11, 2023",BOS @ ATL,34,15,6
"Mar 08, 2023",BOS vs. POR,30,7,2
"Mar 05, 2023",BOS vs. NYK,40,11,6
"Mar 03, 2023",BOS vs. BKN,22,13,5
"Mar 01, 2023",BOS vs. CLE,41,11,8
"Jan 28, 2023",BOS vs. LAL,30,11,4
"Jan 26, 2023",BOS vs. NYK,35,14,4
"Jan 24, 2023",BOS @ MIA,31,14,7
"Jan 23, 2023",BOS @ ORL,26,6,7
"Jan 19, 2023",BOS vs. GSW,34,19,6
"Jan 16, 2023",BOS @ CHA,51,9,5
"Jan 14, 2023",BOS @ CHA,33,9,6
"Jan 12, 2023",BOS @ BKN,20,11,5
"Jan 11, 2023",BOS vs. NOP,31,10,4
"Jan 09, 2023",BOS vs. CHI,32,8,7
"Jan 07, 2023",BOS @ SAS,34,4,2
"Jan 05, 2023",BOS @ DAL,29,14,10
"Jan 03, 2023",BOS @ OKC,27,6,2
"Jan 01, 2023",BOS @ DEN,25,7,6
"Feb 27, 2023",BOS @ NYK,14,7,9
"Feb 25, 2023",BOS @ PHI,18,13,6
"Feb 23, 2023",BOS @ IND,31,12,7
"Feb 15, 2023",BOS vs. DET,38,9,7
"Feb 12, 2023",BOS vs. MEM,16,7,3
"Feb 10, 2023",BOS vs. CHA,41,4,4
"Feb 08, 2023",BOS vs. PHI,12,8,9
"Feb 06, 2023",BOS @ DET,34,11,6
"Feb 03, 2023",BOS vs. PHX,20,6,5
"Feb 01, 2023",BOS vs. BKN,31,9,4
"Dec 29, 2022",BOS vs. LAC,29,11,1
"Dec 27, 2022",BOS vs. HOU,38,8,4
"Dec 25, 2022",BOS vs. MIL,41,7,5
"Dec 23, 2022",BOS vs. MIN,30,8,5
"Dec 21, 2022",BOS vs. IND,41,5,4
"Dec 16, 2022",BOS vs. ORL,31,7,3
"Dec 13, 2022",BOS @ LAL,44,9,6
"Dec 12, 2022",BOS @ LAC,20,11,4
"Dec 10, 2022",BOS @ GSW,18,7,2
"Dec 07, 2022",BOS @ PHX,25,5,2
"Dec 05, 2022",BOS @ TOR,31,12,3
"Dec 04, 2022",BOS @ BKN,29,11,1
"Dec 02, 2022",BOS vs. MIA,14,12,3
"Apr 07, 2023",BOS vs. TOR,21,3,4
"Apr 04, 2023",BOS @ PHI,19,6,6
