GAME_DATE,MATCHUP,PTS,REB,AST
"Oct 30, 2022",LAL vs. DEN,26,6,8
"Oct 28, 2022",LAL @ MIN,28,7,5
"Oct 26, 2022",LAL @ DEN,19,7,9
"Oct 23, 2022",LAL vs. POR,31,8,8
"Oct 20, 2022",LAL vs. LAC,20,10,6
"Oct 18, 2022",LAL @ GSW,31,15,8
"Nov 30, 2022",LAL vs. POR,31,7,8
"Nov 28, 2022",LAL vs. IND,21,7,3
"Nov 26, 2022",LAL @ SAS,39,11,3
"Nov 25, 2022",LAL @ SAS,21,8,5
"Nov 09, 2022",LAL @ LAC,30,8,5
"Nov 06, 2022",LAL vs. CLE,27,7,4
"Nov 04, 2022",LAL vs. UTA,17,10,8
"Nov 02, 2022",LAL vs. NOP,20,10,8
"Mar 31, 2023",LAL @ MIN,18,10,6
"Mar 29, 2023",LAL @ CHI,25,8,4
"Mar 26, 2023",LAL vs. CHI,19,8,3
"Jan 31, 2023",LAL @ NYK,28,10,11
"Jan 28, 2023",LAL @ BOS,41,9,8
"Jan 25, 2023",LAL vs. SAS,20,9,11
"Jan 24, 2023",LAL vs. LAC,46,8,7
"Jan 22, 2023",LAL @ POR,37,11,4
"Jan 20, 2023",LAL vs. MEM,23,9,6
"Jan 18, 2023",LAL vs. SAC,32,8,9
"Jan 16, 2023",LAL vs. HOU,48,8,9
"Jan 15, 2023",LAL vs. PHI,35,8,10
"Jan 12, 2023",LAL vs. DAL,24,16,9
"Jan 07, 2023",LAL @ SAC,37,8,7
"Jan 06, 2023",LAL vs. ATL,25,7,10
"Jan 02, 2023",LAL @ CHA,43,11,6
"Feb 26, 2023",LAL @ DAL,26,8,3
"Feb 23, 2023",LAL vs. GSW,13,9,8
"Feb 15, 2023",LAL vs. NOP,21,6,6
"Feb 07, 2023",LAL vs. OKC,38,7,3
"Feb 04, 2023",LAL @ NOP,27,9,6
"Feb 02, 2023",LAL @ IND,26,7,7
"Dec 30, 2022",LAL @ ATL,47,10,9
"Dec 28, 2022",LAL @ MIA,27,9,6
"Dec 27, 2022",LAL @ ORL,28,7,5
"Dec 25, 2022",LAL @ DAL,38,6,5
"Dec 23, 2022",LAL vs. CHA,34,2,8
"Dec 21, 2022",LAL @ SAC,31,6,11
"Dec 18, 2022",LAL vs. WAS,33,7,9
"Dec 16, 2022",LAL vs. DEN,30,9,4
"Dec 13, 2022",LAL vs. BOS,33,9,9
"Dec 11, 2022",LAL @ DET,35,5,5
"Dec 09, 2022",LAL @ PHI,23,4,6
"Dec 06, 2022",LAL @ CLE,21,17,4
"Dec 04, 2022",LAL @ WAS,29,8,6
"Dec 02, 2022",LAL @ MIL,28,8,11
"Apr 09, 2023",LAL vs. UTA,36,6,6
"Apr 07, 2023",LAL vs. PHX,16,6,6
"Apr 05, 2023",LAL @ LAC,33,8,7
"Apr 04, 2023",LAL @ UTA,37,5,6
"Apr 02, 2023",LAL @ HOU,18,10,11
