GAME_DATE,MATCHUP,PTS,REB,AST
"Oct 30, 2021",GSW vs. OKC,20,5,6
"Oct 28, 2021",GSW vs. MEM,36,7,8
"Oct 26, 2021",GSW @ OKC,23,6,4
"Oct 24, 2021",GSW @ SAC,27,7,10
"Oct 21, 2021",GSW vs. LAC,45,10,1
"Oct 19, 2021",GSW @ LAL,21,10,10
"Nov 30, 2021",GSW @ PHX,12,3,2
"Nov 28, 2021",GSW @ LAC,33,5,6
"Nov 26, 2021",GSW vs. POR,32,7,8
"Nov 24, 2021",GSW vs. PHI,25,4,10
"Nov 21, 2021",GSW vs. TOR,12,2,8
"Nov 18, 2021",GSW @ CLE,40,4,6
"Nov 16, 2021",GSW @ BKN,37,7,5
"Nov 14, 2021",GSW @ CHA,24,6,10
"Nov 12, 2021",GSW vs. CHI,40,4,5
"Nov 10, 2021",GSW vs. MIN,25,5,6
"Nov 08, 2021",GSW vs. ATL,50,7,10
"Nov 07, 2021",GSW vs. HOU,20,3,2
"Nov 05, 2021",GSW vs. NOP,19,3,6
"Nov 03, 2021",GSW vs. CHA,15,8,9
"Mar 16, 2022",GSW vs. BOS,3,1,2
"Mar 14, 2022",GSW vs. WAS,47,6,6
"Mar 12, 2022",GSW vs. MIL,8,5,8
"Mar 10, 2022",GSW @ DEN,34,9,3
"Mar 08, 2022",GSW vs. LAC,15,5,5
"Mar 05, 2022",GSW @ LAL,30,4,1
"Mar 03, 2022",GSW @ DAL,21,5,9
"Mar 01, 2022",GSW @ MIN,34,5,4
"Jan 31, 2022",GSW @ HOU,40,5,9
"Jan 29, 2022",GSW vs. BKN,19,7,8
"Jan 27, 2022",GSW vs. MIN,29,8,6
"Jan 25, 2022",GSW vs. DAL,18,9,7
"Jan 23, 2022",GSW vs. UTA,13,4,6
"Jan 21, 2022",GSW vs. HOU,22,4,12
"Jan 20, 2022",GSW vs. IND,39,5,8
"Jan 18, 2022",GSW vs. DET,18,3,8
"Jan 14, 2022",GSW @ CHI,19,2,2
"Jan 13, 2022",GSW @ MIL,12,8,4
"Jan 11, 2022",GSW @ MEM,27,10,10
"Jan 09, 2022",GSW vs. CLE,28,5,5
"Jan 05, 2022",GSW @ DAL,14,9,5
"Jan 03, 2022",GSW vs. MIA,9,3,10
"Jan 01, 2022",GSW @ UTA,28,6,9
"Feb 27, 2022",GSW vs. DAL,27,4,10
"Feb 24, 2022",GSW @ POR,18,5,14
"Feb 16, 2022",GSW vs. DEN,25,3,6
"Feb 14, 2022",GSW @ LAC,33,2,2
"Feb 12, 2022",GSW vs. LAL,24,5,8
"Feb 10, 2022",GSW vs. NYK,35,2,10
"Feb 09, 2022",GSW @ UTA,16,7,2
"Feb 07, 2022",GSW @ OKC,18,9,10
"Feb 03, 2022",GSW vs. SAC,20,1,7
"Dec 28, 2021",GSW vs. DEN,23,4,4
"Dec 25, 2021",GSW @ PHX,33,4,6
"Dec 23, 2021",GSW vs. MEM,46,4,4
"Dec 20, 2021",GSW vs. SAC,30,3,4
"Dec 17, 2021",GSW @ BOS,30,5,4
"Dec 14, 2021",GSW @ NYK,22,3,3
"Dec 13, 2021",GSW @ IND,26,6,6
"Dec 11, 2021",GSW @ PHI,18,9,5
"Dec 08, 2021",GSW vs. POR,22,2,2
"Dec 06, 2021",GSW vs. ORL,31,3,8
"Dec 04, 2021",GSW vs. SAS,27,8,5
"Dec 03, 2021",GSW vs. PHX,23,5,5
